# OUT-OF-CORPUS QRELS for SQUAD evaluation set on FineWeb
# Generated: 2026-02-07T23:38:23.666152
# Model: Qwen/Qwen3-8B
# Top-K: 100
# Total questions: 10570
# Questions out-of-corpus: 3010
#
# Format: qid, question, official_answer
#====================================================================

1563, Where can the Treatise be found?, Nikola Tesla Museum archive
1568, Where did he claim the blueprint was stored?, in his mind.
1572, Who first discovered his body?, maid Alice Monaghan
1573, What had been left hanging on the door to Tesla's room?, "do not disturb" sign
1574, What was given as the cause of death?, coronary thrombosis
1575, What happened to Tesla's belongings?, FBI ordered the Alien Property Custodian to seize Tesla's belongings
1577, What did he find that could constitute a hazard?, nothing
1578, To where were the belongings taken?, Manhattan Storage and Warehouse Company
1580, Who wrote the eulogy?, Louis Adamic
1582, How many people attended the funeral?, two thousand
1583, Where was the funeral held?, the Cathedral of Saint John the Divine
1587, Where were the ashes sent?, Belgrade
1588, When are the ashes now?, Nikola Tesla Museum
1592,  Where were missing patents later found?, patent archives
1596, Who served his dinner?, headwaiter
1597, What was the daily distance walked by Tesla?, between 8 to 10 miles per day
1598, Why did he walk?, exercise
1599, What did he do to his feet at night?, squished his toes
1602, What was Brisbane's job?, newspaper editor
1606, What was wrong with the pigeon?, broken wing and leg
1609, How much did Tesla weigh?, 142 pounds
1611, In what time frame did Tesla weigh almost exactly the same amount?, 1888 to about 1926
1619, What amount of time was the longest that Tesla spent working without stopping to rest?, 84 hours
1624, Who reportedly wanted Tesla's company?, women
1625, When did Tesla admit to a reporter that maybe he'd sacrificed too much by not having a relationship?, toward the end of his life
1629, With what word was Tesla's sociability described?, asocial
1634, Who was Tesla prejudiced against?, overweight people
1635, Who did he fire?, secretary
1636, Why did he fire the secretary?, her weight
1637, What did he make the employee do when he didn't like her outfit?, go home and change
1638, What subatomic particle did Tesla deny the existence of?, electron
1640, What did he believe the ether did?, transmitted electrical energy
1643, What was Tesla's attitude toward the idea that matter could be turned into energy?, antagonistic
1650, What was his belief as to what nature was supposed to be?, ruthless
1652, When did he talk about his beliefs in an interview?, 1937
1654, When did he talk about his thoughts on gender?, 1926
1655, What term did he use for what he believed would be humanity's future rulers?, Queen Bees
1657, What were the "great Forces" mentioned in the article's title?, Science and Discovery
1658, When was the article published?, 20 December 1914
1659, What entity did Tesla believe would not be able to solve the problems of the time?, League of Nations
1663, What article was published in 1937?, "A Machine to End War"
1665, In the article's title  what did the machine hope to end?, War
1673, What kind of media can references to Tesla be found in, books  films  radio  TV  music  live theater  comics and video games
1676, For what occasion was he put on the cover?, 75th birthday
1679, How many other important people sent letters?, more than 70
1685, What are two basic primary resources used to guage complexity?, time and storage
1686, What unit is measured to determine circuit complexity?, number of gates in a circuit
1687, What practical role does defining the complexity of problems play in everyday computing?, determine the practical limits on what computers can and cannot do
1697, By how many kilometers does the traveling salesman problem seek to classify a route between the 15 largest cities in Germany?, 2000
1698, What is one example of an instance that the quantitative answer to the traveling salesman problem fails to answer?, round trip through all sites in Milan
1701, What is the name of the alphabet is most commonly used in a problem instance?, binary alphabet
1702, What is another term for the string of a problem instance?, bitstrings
1704, What is one way in which graphs can be encoded? , adjacency matrices
1707, What are the two integer responses to a decision problem?, 1 or 0
1711, What is the term for the set of all connected graphs related to this decision problem?, formal language
1712, What encoding decision needs to be made in order to determine an exact definition of the formal language?, how graphs are encoded as binary strings
1713, A function problem is an example of what?, a computational problem
1716, In addition to the traveling salesman problem  what is another example of a function problem?, the integer factorization problem
1718, How can function problems typically be restated?, decision problems
1719, If two integers are multiplied and output a value  what is this expression set called?, set of triples
1721, What is one variable on which the running time may be contingent?, the instance
1722, How is the time needed to obtain the solution to a problem calculated?, as a function of the size of the instance
1724, Complexity theory seeks to define the relationship between the scale of algorithms with respect to what other variable?, an increase in the input size
1727, What term corresponds to the maximum measurement of time across all functions of n? , worst-case time complexity
1732, What is the most commonplace model utilized in complexity theory?, the Turing machine
1738, What is the term given to algorithms that utilize random bits?, randomized algorithms
1741, In the determination of complexity classes  what are two examples of types of Turing machines?, probabilistic Turing machines  non-deterministic Turing machines
1744, What two resources commonly consumed by alternate models are typically known to vary?, time and memory
1745, What commonality do alternate machine models  such as random access machines  share with Turing machines?, the machines operate deterministically
1747, What often affects or facilitates ease of analysis in computational problems?, unusual resources
1751, Complexity theory classifies problems based on what primary attribute?, difficulty
1755, A complexity resource can also be described as what other type of resource?, computational resource
1756, What is typically used to broadly define complexity measures?, Blum complexity axioms
1759, What are the three primary expressions used to represent case complexity?, best  worst and average
1762, Case complexities provide three likelihoods of what differing variable that remains the same size? , inputs
1770, What is the colloquial phrase used to convey the continuum of algorithms with unlimited availability irrespective of time? , all possible algorithms
1771, What expression is generally used to convey upper or lower bounds?, big O notation
1772, What does a big O notation hide?, constant factors and smaller terms
1774, Big O notation provides autonomy to upper and lower bounds with relationship to what? , the computational model
1775, What has complicated definitions that prevent classification into a framework?, complexity classes
1777, Difficulty in establishing a framework for complexity classes can be caused by what variable?, complicated definitions
1778, Concrete bounding of computation time frequently produces complexity classes contingent upon what?, chosen machine model
1780, A language solved in quadratic time implies the use of what type of Turing machine?, single-tape Turing machines
1784, What function is used by algorithms to define measurements like time or space?, bounding
1786, What are three examples of complexity classes associated with definitions established by probabilistic Turing machines?, BPP  ZPP and RP
1791, What is an example of a measurement within a complexity class that would create a bigger set of problems if the bounds were relaxed?, computation time
1792, In what expression can one expect to find DTIME(n), DTIME(n2)
1793, What theorems are responsible for determining questions of time and space requirements?, time and space hierarchy theorems
1796, What is the foundation for separation results within complexity classes?, time and space hierarchy theorems
1799, What concept is frequently used to define complexity classes?, reduction
1800, Reduction essentially takes one problem and converts into what?, another problem
1802, What are two examples of different types of reduction?, Karp reductions and Levin reductions
1804, What is the most frequently employed type of reduction?, polynomial-time reduction
1805, What equates to a squared integer according to polynomial time reduction?, multiplying two integers
1807, What would need to remain constant in a multiplication algorithm to produce the same outcome whether multiplying or squaring two integers?  , input
1809, The complexity of problems often depends on what?, the type of reduction being used
1810, What would create a conflict between a problem X and problem C within the context of reduction? , if every problem in C can be reduced to X
1811, An algorithm for X which reduces to C would us to do what?, solve any problem in C
1818, What hypothesis is associated with the complexity class of P viewed as a mathematical abstraction with efficient algorithmic functionality?, Cobham–Edmonds thesis
1822, If P is ultimately proven to be equal tot NP  what effect would this have on the efficiency of problems?, more efficient solutions
1834, The integer factorization problem essentially seeks to determine if the value of of an input is less than what variable? , k
1838, What is an expression that can be used to illustrate the suspected inequality of complexity classes?, P ⊆ NP ⊆ PP ⊆ PSPACE
1839, Where can the complexity classes RP  BPP  PP  BQP  MA  and PH be located?, between P and PSPACE
1840, What evidence between and among complexity classes would signify a theoretical watershed for complexity theory?, Proving that any of these classes are unequal
1846, Though unkown  what are the most commonly ascribed attributes of L in relation to P, strictly contained in P or equal to P
1847, What lies between L and P that prevents a definitive determination of the relationship between L and P?, complexity classes
1848, What are two complexity classes between L and P?, NL and NC
1849, What is unknown about the complexity classes between L and P that further prevents determining the value relationship between L and P?, if they are distinct or equal classes
1854, Despite the Presburger problem  and in view of intractability  what has been done to establish solutions in reasonable periods of time?, algorithms have been written
1855, What is an example of a problem to which effective algorithms have provided a solution in spite of the intractability associated with the breadth of sizes?, NP-complete knapsack problem
1856, How quickly can an algorithm solve an NP-complete knapsack problem?, in less than quadratic time
1857, What is the example of another problem characterized by large instances that is routinely solved by SAT handlers employing efficient algorithms?, NP-complete Boolean satisfiability problem
1858, What tactic did researchers employ to offset the former deficit of work surrounding the complexity of algorithmic problems?, foundations were laid out
1863, What paper is commonly considered the bellwether ushering in systematic studies computational complexity?, On the Computational Complexity of Algorithms
1864, What individuals were responsible for authoring "On the Computational Complexity of Algorithms"?, Juris Hartmanis and Richard Stearns
1869, In what year did Raymond Sullivan publish a study of rudimentary sets?, 1961
1870, In 1962  who was responsible for the authorship of a paper published on real time-computations?, Hisao Yamada
1871, What is the concrete choice typically assumed by most complexity-theoretic theorems?, input encoding
1887, If someone is being taught at their place of residence  what is it called?, home schooling
1889, What is the opposite of an ongoing role of teaching?, transient
1890, What would a community member need to teach informally?, knowledge or skills
1894, Who would generally teach from a work like the Quran  Torah or Bible?, Religious and spiritual teachers
1896, Who is most likely to be doing formal teaching?, paid professionals.
1902, What would type of studying would require a teacher to take on a supervisor role?, study halls
1905, Why would a teacher's college exist?, to serve and protect the public interest
1910, What could someone be investigated for?, allegations of professional misconduct
1911, A teacher must be a member in good standing with what entity in many situations?, teacher's colleges
1912, Who might take disciplinary action against a teacher?, teacher's colleges
1915, What is the name for a teacher of just one person?, tutor
1916, Where is another indoor location for a teacher other than a school?, academy
1921, What has started to change the way teachers teach in the classroom  generally?, increasing use of technology
1923, What objective would be labeled as practical?, skill
1931, What would a teacher do for someone who is cocky?, deflate
1933, What's the biggest difference in the teaching relationship for primary and secondary school?, the relationship between teachers and children
1939, What type of system takes students from one specialist to another for each subject?, platoon
1943, What is a new trend in teaching?, Co-teaching
1946, How do co-teachers work with each other to fulfill the needs of students?, harmoniously
1947, What type of support does co-teaching provide?, social networking support
1949, What was the teacher's role while the child was with them?, substitute parent
1950, What types of discipline did the teacher have access to?, all the normal forms of parental discipline
1952, When could a teacher act in the role of a parent?, While a child was in school
1961, What tool is used in corporal punishment?, a specially made wooden paddle
1965, Where can you find more information on a country's practices?, see School corporal punishment.
1972, What is the balance for positive reinforcement?, immediate and fair punishment for misbehavior
1974, What is not considered appropriate disclipine?, sarcasm and attempts to humiliate pupils
1976, Who wants a more confrontational type of discipline?, some teachers and parents
1977, What countries are used as an example of harsher discipline with successful education?, East Asia
1978, What do critics think the cause of problems with modern schooling is?, weakness in school discipline
1979, What type of discipline do critics want to see?, a more assertive and confrontational style
1984, What class sizes can make keeping order difficult?, 40 to 50 students
1986, Who may teachers focus on  in order to prioritize attention?, motivated students
1987, Who may teachers ignore  in order to prioritize attention?, attention-seeking and disruptive students
1988, Who ends up getting more of the teacher's resources in this scenario?, motivated students
1989, What type of authority do Sudbury schools prefer?, popularly based authority
1993, What must be passed using democratic means by the entire school community?, good  clear laws
1996, What do these teachers NOT do?, teach by rote
2000, What is dramatic gesturing an example of?, nonverbal expressions of enthusiasm
2001, What type of studies explored student motivation?, Controlled  experimental studies
2004, What may cause "motivational embellishment"?, enthusiasm
2005, What is the term for catching the motivation expressed by the teacher?, emotional contagion
2007, What is student motivation about school linked to?, student-teacher relationships
2010, What should a teacher guide a student in?, aligning his personal goals with his academic goals.
2011, What is strongly linked to good student-teacher relationships?, student motivation and attitudes towards school
2012, Students show more interest in classes taught by what type of teachers?, friendly and supportive
2013, Students build stronger relationships with what type of teachers?, friendly and supportive
2014, What do supportive teachers spend more time doing?, interacting and working directly with students
2024, What is the time period of this statistic? , sometime during their educational career.
2025, Who conducted this survey?, American Association of University Women
2027, What was the definition of professionals  for this study?, priests  religious leaders  and case workers as well as teachers
2028, How many people were involved in the study?, 2 869
2031, What has been the result of this publicity?, increased scrutiny on teacher misconduct
2032, Why have some men avoided becoming teachers?, Fears of being labelled a pedophile or hebephile
2034, A statement made by Chris Keates caused issues with whom?, child protection and parental rights groups
2037, What can hurt a teacher's mental and physical health?, occupational stress
2039, What is something that teacher's are at a high risk for?, occupational burnout
2043, Where was the 2000 study conducted?, UK
2046, The 2012 study showed teachers experienced more stress than whom?, average workers
2049, What is stress-management training considered to be?, Individual-level interventions
2050, What might offering bonuses help reduce?, occupational stress among teachers
2052, Where are nearly all teachers taught?, a university or college
2054, What certificate is often earned after graduating high school?, elementary school education certificate
2055, What might also be required of a teacher to pass  in addition to certification?, a background check and psychiatric evaluation
2060, What is tertiary education?, universities and/or TAFE colleges
2062, What is the minimum required if you want to teach in Canada?, a post-secondary degree Bachelor's Degree
2063, What may also be required of teachers  in some areas?, a second Bachelor's Degree such as a Bachelor of Education
2065, What are teachers considered to be in Germany?, civil servants
2066, Where are teachers recruited from?, Lehramtstudien (Teaching Education Studies)
2067, What is the name of Elementary Schools?, Grundschule
2068, What is used to decide a teacher's salary?, civil servants' salary index scale (Bundesbesoldungsordnung)
2070, What does teaching on an island result in?, Extra pay
2071, What is the basic pay for a teacher  in Euros?, 27 814
2072, What can a teacher with 25 years of experience make  in Euros?, 53 423
2073, What can a principal make  if he/she works for a big school?, 90 000
2075, What part of the Teaching Council Act requires registration?, Section 30
2077, What funds cannot be used if a teacher is not registered?, Oireachtas funds
2078, When was vetting introduced?, 2006
2079, Who is subject to vetting?, new entrants to the teaching profession
2080, How are existing teachers and non-teachers vetted?, on a phased basis
2081, Who cannot be employed by a school in any manner?, those who refuse vetting
2082, In 2007  what was the high end of the salary range?, 41 004
2083, What can cause salaries to go higher than the range?, experience and extra responsibilities
2084, What would a Preschool teacher make  salary-wise?, 20 980
2086, When was the salary range listed valid for (month and year)?, September 2007
2087, What do counties sometimes offer to get more teachers?, alternative licensing programs
2091, What types of teachers are retiring the most?, secondary school teachers
2092, With whom must someone who wants to teach register?, the General Teaching Council for Scotland (GTCS)
2095, What does someone who completes the Initial Teacher Education (ITE) program get?, Provisional Registration
2096, How long until the Provisional Registration is upgraded  if requirements are met?, after a year
2097, What is the start of the salary year?, April 2008
2098, How much does a Probationer earn  initially?, 20 427
2099, How much does a Probationer earn  after 6 years of service?, 32 583
2100, What would a Probationer need to do to earn more money  after 6 years?, earn Chartered Teacher Status
2101, What group can teachers register with?, trade unions
2107, What group can teachers in Wales register with?, trade unions
2108, What is happening to the average age of teachers in Wales?, falling
2109, When were attacks on teachers the highest?, between 2005 and 2010
2113, What is the longest time that a teaching certificate is good for?, ten years
2117, In general  what were teachers paid in the past?, relatively low salaries
2118, What has been getting much better in the most recent years?, average teacher salaries
2119, What two factors can generally increase a teacher's salary?, more experience and higher education
2124, Is the Pope's confessor a Bishop?, not always
2125, What are the three major traditions present in Christianity?, (Roman) Catholic  (Eastern) Orthodox Catholic  and Protestant/Non-Denominational
2128, What type of mentorship does the LDS Church focus on?, spiritual
2130, Who do Priesthood representatives defer to  at times?, the father of the house
2137, What is the name of a Bodhisattva vow?, Tulku
2139, What helped the Lama determine to be reborn?, through phowa and siddhi
2140, Who teaches the proper way of living in Islam?, ulemas
2143, What is another name for exoteric?, actions-oriented
2144, What is the term for the highest living saint?, Qutb
2167, How early did Luther say he had to awaken every day?, at four
2168, How did Luther describe his learning at the university?, rote learning
2171, What did Luther think the study of law meant?, uncertainty
2176, When did the lightening event happen?, 2 July 1505
2177, Where did Luther go on 17 July 1505?, Augustinian cloister in Erfurt
2181, How did Luther describe his time in the order?, deep spiritual despair
2192, What position did Luther have in Wittenberg?, Doctor in Bible
2196, Why was Tetzel seeking money in Germany?, rebuild St. Peter's Basilica
2203, Who contends that Luther did not intend to oppose the church?, Hans Hillerbrand
2211, What did giving money to the church absolve the giver from?, punishments
2212, What did Luther call these donations?, false assurances
2215, What did this statement of Tetzel's show about him?, capacity to exaggerate
2218, What story has little foundation in truth?, the posting on the door
2219, What story of little truth is a pillar of history?, posting on the door
2220, On whose comments is the posting on the door based?, Philipp Melanchthon
2222, What do scholars agree on about the posting on the door story?, little foundation in truth
2224, What device was one of the first to aid a controversy?, printing press
2234, What sections of Church dogma did Luther come to view in another way?, penance and righteousness
2244, What became the foundation of the Reformation?, Christ and His salvation
2253, What did Pope Leo X launch against Luther?, papal theologians and envoys
2256, What were the papal legate's orders from the Pope?, arrest Luther
2260, What scripture did Luther use to back up his opinion that churchmen were not infallible?, Matthew 16:18
2263, What did Luther need to do to avoid excommunication? , recanted 41 sentences
2265, Who attempted to arrange a compromise?, Karl von Miltitz
2270, Who presided over the assembly?, Emperor Charles V
2276, How did Luther respond after being asked if the books were his?, confirmed
2277, What did Luther do at the end of his speech?, raised his arm
2279, Who considers Luther's speech a world classic?, Michael Mullett
2280, What did Michael Mullet call Luther's speech?, epoch-making oratory
2283, Why is the statement doubtful in the eyes of scholars?, not recorded
2284, What manner of words does Mullet think Luther would choose?, more dramatic form
2297, When did Luther write to Melanchhon about God's grace?, 1 August 1521
2299, What does Luther write that this life doesn't have?, justice
2307, At this time where was Luther's focus centered?, Daniel 8:9–12  23–25
2312, What did the reforms cause?, disturbances
2315, When did Luther return to Wittenberg?, 6 March 1522
2316, What did Luther think was required to stop the violence?, personal presence
2319, How did Luther want people to bring about change?, trust God's word
2325, What did Luther seek to restore?, public order
2329, Besides the radicals who else did Luther have to deal with?, established Church
2338, How did Luther express the destruction?, the devil's work
2341, What were the protesters doing with Christ's counsel?, ignoring Christ's counsel
2348, What event followed the battle?, Müntzer's execution
2356, At what point in the day was the couple married?, evening
2357, Besides the walk to the church  what else was left out of the day's celebration?, wedding banquet
2358, When was the wedding banquet celebrated?, 27 June
2359, Who married the wedding couple?, Johannes Bugenhagen
2361, What kind of marriage was this ?, clerical marriage
2366, What was the Black Cloister?, former monastery
2371, What did Luther form in 1525 to 1529?, supervisory church body
2373, What did Luther write as an outline of the new faith?, two catechisms
2377, What role did Luther play in other areas' churches?, adviser
2379, What unintended development did the relationship with the elector have on church government?, under the temporal sovereign
2382, For whom was this new mass intended?, simple people
2386, What began in 1527 when Luther introdued the new order of worship?, visitation of the Electorate
2387, What type of education was assessed during this time?, Christian education
2389, What were many pastors unable to do?, incapable of teaching
2396, What effort was Luther not particularly in favor of?, writings in volumes
2401, What work is useful for pastors?, Larger Catechism
2403, How did Luther show the Trinity in his catechisms?, as persons
2410, Where was the language Luther used in his translations spoken?, Saxon chancellery
2411, Which Germans could understand the language Luther used?, northern and southern
2412, What group did Luther want to understand his works?, everyday Germans
2413, Why did he want to make the language accessible to people?, read it without hindrance
2414, To promote accessibility of the works  what did Luther remove?, impediments and difficulties
2415, At the time of Martin Luther what was in demand?, German-language publications
2428, Who is the English translator of this hymn?, John C. Messenger
2431, What did this hymn presage?, Apostles' Creed
2432, Where is the Apostles located?, Small Catechism
2434, Why have modern Lutherans stopped using the hymn?, difficulty of its tune
2437, What was the hymn meant to examine students on?, specific catechism questions
2438, What does the original manuscript show?, multiple revisions
2439, What do later versions of the Lord's Prayer hymn still use?, Luther's tune
2441, What is the basis of the hymn?, Psalm 130
2446, What was the hymn based on?, Veni redemptor gentium
2454, Where was the baptismal hymn used to introduce the Reformation?, Halle
2463, In what years did Bach use more of Luther's hymns in his compositions?, 1724 to 1725
2464, When was the last use by Bach of Luther's work?, 1735
2472, Who else observed that Luther view of souls was different form later views?, Gerhard. Lessing
2477, Who pointed out that the passage under dispute actually refers to a living man?, Gottfried Fritschel
2480, Who was Philip I?, Landgrave of Hesse
2484, What point did the theologians differ on concerning the Last Supper?, words spoken by Jesus
2487, What did Luther's opponents think that it meant about God's presence?, symbolically present
2492, Which group did not agree to sign these agreements?, The Swiss cities
2493, What ruler  besides John of Saxony and Philip of Hesse  formed the Schmalkaldic League?, George  Margrave of Brandenburg-Ansbach
2500, What did Luther gradually see as hopeless in the Reformation?, Jewish conversion to Christianity
2505, What was the purpose of the Turks in Luther's mind?, to punish Christians
2508, What kind of war did Luther support against the Turks  even if he did not oppose a religious war?, secular war
2509, What book did Luther read in 1542?, Qur'an
2510, What type of writings did the reading of the Qur'an bring out in Luther?, critical pamphlets on Islam
2513, What purpose would Luther have in not wanting to ban the Qur'an?, exposed to scrutiny.
2516, What did Agricola apparently believe about who should be in control  law?, city hall
2520, What is the use of the law by the Holy Spirit?, work sorrow over sin
2522, What does refusing to preach the Ten Commandments not do?, eliminate the accusing law
2527, What did Luther consider Christ's life?, illustration of the Ten Commandments
2531, What does the Ten Commandments ask of the Christians?, service to the neighbor
2532, What did Philip I wish to do around 1539?, wanted to marry
2534, Who did Philip I want to marry?, one of his wife's ladies-in-waiting
2536, What did this affair cause to Luther's reputation?, lasting damage
2544, How near to his death was the work published?, three years before
2551, When did riots cause the expulsion of Jews from several German states?, Throughout the 1580s
2552, Who was the most widely read writer of his generation?, Luther
2560, Who agreed with the burning of synagogues?, Bishop Martin Sasse
2564, What did this agitation provide later generations material for?, modern hatred of the Jews
2573, What about Luther declined as his antisemitism increased?, his health
2574, What kind of affect did Luther often use in his discourses?, vulgarity and violence
2575, Who else did Luther use violent rhetoric towards?, Muslims) and Catholics
2576, What is the title of Edwards book about Luther?, Luther's Last Battles: Politics and Polemics 1531–46
2580, When were the elections that produced a higher vote by Protestant Nazi sympathizers than by Catholics?, 1928-1933
2583, What did Luther begin to experience in 1536?, kidney and bladder stones
2584, What other health issues did Luther have?, arthritis  and an ear infection
2587, What other aspect of Luther's life was affected by his health?, writings and comments
2592, When was Luther's last sermon?, 15 February 1546
2599, When was a third visit to Mnafeld scheduled? , early 1546
2601, When were the negotiations finished in Mansfeld?, 17 February 1546
2603, Luther went to bed quoting what scripture?, Ps. 31:5
2604, What is Psalm 31:5?, prayer of the dying
2606, What event took away his ability of speech?, apoplectic stroke
2608, On what date did Luther die?, 18 February 1546
2610, Who performed the funeral for Martin Luther?, Johannes Bugenhagen and Philipp Melanchthon
2611, What was later discovered written by Luther?, his last statement
2615, In contrast how were Catholic saints portrayed?, frail Catholic saints
2616, How was Luther presented as an image to spread Protestantism?, physically imposing
2617, What was the image of Luther a contrast to the life of?, religious orders
2623, How is Luther commemorated on the Lutheran  Episcopal  and  Church of England  calendars?, Luther is honoured
2628, The reasons for the las two counties to be added are based on what?, historical political divisions
2637, Which of the three heavily populated areas has the least number of inhabitants?, San Diego
2639, What is the name of the water body that is found to the east?, Colorado River
2660, What famous snowbaorder lives in southern California?, Shaun White
2678, What was the name given to the regions in which the pro - slavery southerners lived?, Cow Counties
2683, In which year did the newspaper define southern California?, 1900
2685, What was the newer county added to the list?, Imperial
2687, Which organizations most commonly divide and promote the state?, regional tourism groups
2690, Which mountain range influenced the split of the regions?, Tehachapis
2696, What kind of region can be found inside the urban area of southern California?, international metropolitan
2697, What is the main gap to continued urbanization?, Camp Pendleton
2703, Other than many sunny days  what characteristic is typical for the climate in souther California?, infrequent rain
2704, What is the low end of the temperature range in summer?, 60's
2705, How frequent is snow in the Southwest of the state?, very rare
2709, What type of landscapes other than geologic and natural ecosystem landscapes can be found in southern California?, topographic
2723, Outside of national recognition  what other kind of recognition do some of the cities get?, global
2726, What does southern California have a reputation for?, high growth rates
2727, What is the state average growth rate?, 10.0%
2728, What kind of economy did northern California start to grow in the 2000s?, tech-oriented
2729, Which region began to grow and assert itself in the 2000s?, Greater Sacramento
2737, How many cities in southern California have over 200 000 residents?, twelve
2742, The region was a leader in what event between 2001 - 2007?, the housing bubble
2744, What was the effect of the housing crash on the region?, heavily impacted
2751, What does CBD stand for?, Central business districts
2752, What is the only district in the CBD to not have "downtown" in it's name?, South Coast Metro
2761, Where are international corporations headquartered?, University of California  Irvine
2770, What is the metric they use to determine how busy airports are?, passenger volume
2781, What is the moniker that is being used to describe the region's diversified technology?, The Tech Coast
2782, What kind of universities is the region famous for?, research
2796, What other kind of sport is popular in southern California?, College
2801, What is a growing sport in southern California?, Rugby
2803, What is rugby rapidly becoming with high schools?, an official school sport
2811, Who purhcased the remaining 4 pacakages available to broadcasters?, Sky
2812, How much did Sky bid to win the 4 broadcast pacakges they bought?, £1.3bn
2816, What channel replaced Sky Travel?, Sky Three
2817, What was Sky Travel later rebranded as?, Pick TV
2819, When did Sky launch a TV advertising campaign target towards women?, September 2007
2820, WHat allows customers to get Sky+ functions if they do not subscribe to BSkyB's channels?, monthly fee
2821, When did BSkyB discontinue the Sky+ Box?, January 2010
2825, Who is the parent company of NDS?, Cisco Systems
2828, What channels were removed from the network in March of 2007?, basic channels
2830, What did Virgin Media claim BSkyB did that resulted Virgin not carrying the channels anymore?, substantially increased the asking price
2832, What additional srevice did BSkyB offer besides Video on Demand that they claimed offered "substantially more value"?, HD channels
2833, when did the English High court find Microsoft's use of the term "SkyDrive" infringed on Sky's right?, July 2013
2835, What did Microsoft announce that it would rename Sky Drive to?, OneDrive
2836, What did Microsoft announce that it would rename Sky Drive Pro to?, OneDrive for Business
2838, Who was the chief executive officer when the service began?, Sam Chisholm
2842, How many households had BSkyB service in 1994?, 3.5 million
2848, What are the Sky Q mini set top boxes able to connect to?, Sky Q Silver set top boxes
2849, What does connecting different Sky Q boxes enable them to do?, share recordings
2851, When are the new Sky Q products going to be available?, 2016
2853, Sky Movies and Sky Box office also include what optional soundtracks?, Dolby Digital
2855, What is the proprietary system that Sky+HD uses?, OpenTV
2859, What satellite enabled Sky Digital to launch an all new digital service?, Eutelsat's Eurobird 1
2862, When did BSkyB launch it's HDTV service?, 22 May 2006
2865, What was the number of customers that the BBC  reported had yet to receive the service due to failed deliveries?, 17 000
2866, What was the total number of homes Sky announced that had Sky+HD in March of 2012?, 4 222 000
2871, What does BSkyB's sport portfolio include?, English Premier League Football
2874, What does a receiver have to be equipped with to view encrypted content?, VideoGuard UK
2878, Who were the current rights holders for the Primer League?, ITV
2883, what is the fee range for accessing BSkyB's EPG?, £15–100 000
2884, Can BSkyB veto the presence of channels on their EPG?, no
2891, Within the 30 days how many digiboxes had been sold?, 100 000
2898, How large was the audience BSkyB said they could reach?, 25m
2899, When did BSkyB first announce their target goal?, August 2004
2900, What was the target percentage of households BSkyB wanted to reach?, 36%
2901, What was happening to subscriber numbers in other areas of europe?, flattened
2904, what did the UK parliment hear that a subscription to BSkyB was?, often damaging
2905, What was the UK governments benefits agenchy checking in 2012?, Sky TV bills
2906, What did the benefits agency think sports channels on a TV bill meant?, a man's presence
2907, What were the annual carriage fees for the channels?, £30m
2910, What company agreed to terminate high court proceedings with Virgin Media?, BSkyB
2911, What were high court proceedings being held about?, basic channels
2917, Where is the Asian influence strongest in Victoria?, Bendigo
2920, How many miners died in the typhoid outbreak of 1854?, over 1 000
2922, What kind of representational system does the Victorian Legislative Council have?, multi-member proportional
2933, How many Victorians are Catholic?, 26.7%
2935, How many Victorians are Buddhist?, 168 637
2936, How many Victorians are non-religious?, 20%
2947, How much Victorian farmland is farmed in grains?, 26 000 square kilometres
2948, What percentage of farmland grows wheat?, 50%
2949, How much of Victoria's farmland grows hay?, 6 000 square kilometres
2955, What are the exceptions in the constitution  that require special considerations to amend?, "entrenched" provisions
2957, What is the weather type of Mallee and upper Wimmera?, warmest regions
2960, What is Victoria's highest monthly temperature?, 48.8 °C
2975, What type of topological systems are found in numbers in Victoria?, river systems
2980, What is the temperature in the highest portion of the mountain range in winter?, below 0 °C
2981, What is the lowest recorded temperature in Victoria?, −11.7 °C
2984, What entity owns V/Line?, Victorian Government
2997, By August 2010 how many public schools did Victoria have?, 1 548
2998, How many Catholic schools were in Victoria?, 489
3000, How many full time teachers does Victoria have?, 63 519
3004, What percentage of Australia's dairy cattle are found in Victoria?, 60%
3017, What armed group stopped the uprising at Ballarat?, British troops
3020, The passage of what act gave Victoria its own government?, Colony of Victoria Act
3021, What does the Premier of Victoria need to lead in the Legislative Assembly? , most seats
3023, Who can be in the Victorian cabinet?, representatives
3028, How many farms are there in Victoria?, 32 463
3029, How much land do farms use in Victoria?, 136 000 square kilometres
3030, How much percentage of Victoria's land is taken up by farms?, 60%
3040, What did this agreement do?, granted the Huguenots substantial religious  political and military autonomy
3043, The term may be related to what politician from Switzerland?, Besançon Hugues
3045, When did this attempt take place?, 1560
3046, What helped spread Protestantism in France?, availability of the Bible in vernacular languages
3047, When did the first French language bible appear?, Around 1294
3048, Who translated this version of the scriptures?, Guyard de Moulin
3049, An illustrated  paraphrased version of this appeared when?, 1487
3052, What was the most important of these cities or towns?, Montpellier
3055, When was this proclamation issued?, 1629
3071, Who was Louis XIV's main rival?, William III of Orange
3083, How did the Huguenots defend themselves?, their own militia
3085, When did these rebellions take place?, between 1621 and 1629
3086, Where did these uprisings take place?, southwestern France
3089, What were the civil wars caused by the Huguenots called?, Huguenot rebellions
3098, What is located within this district?, the oldest street in the United States of America
3106, By what other name was the Gate known?, Huguon
3107, Who allegedly haunted the gate?, the ghost of le roi Huguet
