# UNSUPPORTED QRELS for NQ evaluation set on FineWeb
# Generated: 2026-02-07T04:19:25.773551
# Model: Qwen/Qwen3-8B
# Top-K: 100
# Total questions: 3610
# Questions out-of-corpus: 1219
#
# Format: qid, question, official_answer
#====================================================================

1631, how do you say zest for life in french, Joie de vivre
1633, who is dylan's father in bates motel, Norma's brother  Caleb
1636, when does middle-earth shadow of mordor come out, September 2014
1638, who was in dont worry be happy video, Bill Irwin
1642, how much of the world's diamonds does de beers own, 33% in 2013
1644, where is the diaphragm located on the human body, the inferior thoracic border
1649, who sings i don't want to be lonely, Ronnie Dyson
1651, when is the second half of vikings season 5 coming out, 2018
1661, who was the walker rick killed in the first episode, Addy Miller
1663, vapor pressure of water at 100c in torr, 759.9625
1664, when was the last time stock market crashed, 27 Oct 1997
1666, who owns the rights to rocky and bullwinkle, Universal Pictures
1667, what state did they film daddy's home 2, Great Barrington  Massachusetts
1668, first day collection of mission china assamese film, ₹ 39.97 lakh
1670, who won french open 2017 tennis tournament in men's double category, Ryan Harrison
1675, georgia out of angus thongs and perfect snogging, Georgia Groome as Georgia Nicolson
1679, when does star trek discovery air on tv, September 19  2017
1680, when did earth's atmosphere change due to living organisms, around 2.45 billion years ago
1685, when did clifford the big red dog first air on tv, September 4  2000
1686, when is episode 12 of miraculous ladybug season 2 coming out, 30 March 2018
1688, who sang the most number of songs in the world, Asha Bhosle
1689, who sings i will go down with this ship, Dido
1692, when does the new episode of scorpion come on, January 15  2018
1695, wolf of wall street number of f words, 569
1699, who won the marathon in new york city, Geoffrey Kamworor
1700, what is the setting of the story sorry wrong number, Manhattan
1701, does archie end up with betty or veronica in riverdale, Betty
1703, when did this season of american idol start, March 11  2018
1705, what was the outcome of the battle of san juan hill, Cuban-American victory
1710, when were 2 dollar bills stopped being made, current denomination of U.S. currency
1713, how long do you have to serve in the israeli military, two years for women
1714, dark parables return of the salt princess release date, September 2017
1716, what is the most current adobe flash player version, 28.0.0.137
1717, how many players have scored 10000 runs in odi, 11
1718, who plays lindsay denton in line of duty, Keeley Clare Julia Hawes
1719, when did the first wireless beats come out, October 2012
1722, what is the word for clarified butter in the balkans and middle east, smen
1724, where is fight or flight in the brain, the adrenal medulla
1725, the road that connects the tombs is called, "Spirit Way"
1728, who's the model on let's make a deal, Tiffany Adams Coyne
1729, uruguay is located along what body of water, Bay of Montevideo
1731, when does the second part of vikings season 4 start, November 30  2016
1737, who plays dylan in daddy's home 2, Owen Vaccaro
1739, who is nebula on guardians of the galaxy, Karen Gillan
1742, who is the pastor of new birth missionary baptist church now, Stephen A. Davis
1747, ajay devgan preity zinta and madhuri dixit movie, Yeh Raaste Hain Pyaar Ke
1748, when did virgin australia (formerly virgin blue) commence flying in australia, November 1999
1750, how many episodes of sabrina the teenage witch are there, 163
1761, winner of worst cooks in america season 5, Amber Brauner
1762, when does the movie jeepers creepers come out, September 26  2017
1764, who's the guy in call me maybe, Holden Nowell
1768, how old do you have to be to get a gun licence in nz, 16 or older
1769, who is ishani in lies of the heart, Siddharth Arora/Vibhav Roy
1771, who won the king of dance season 2, LAAB Crew From Team Sherif
1772, only player to play for manchester united manchester city liverpool and everton, Peter Andrew Beardsley
1774, who plays the first nfl game of the season, the New England Patriots
1780, who plays the dad in drake and josh, Jonathan Goldstein
1785, who brought the idea of castles to england, Norman invaders
1786, when do willow and tara get back together, Entropy
1789, who won the fountain of youth stakes at gulfstream park, Gunnevera
1791, why wasnt agent matthews in miss congeniality 2, relocated to Miami
1796, who plays kevins shrink on kevin probably saves the world, Richard Masur
1801, where does a wrinkle in time take place, Connecticut
1803, when did where are you now come out, February 27  2015
1805, what is dj's boyfriends name on full house, Steve Hale
1806, when did end of the road come out, 1992
1808, who sings i want to be a rockstar, Nickelback
1809, when was the last time new england had a hurricane, Hurricane Hanna
1812, who played the nurse on andy griffith show, Julie Adams
1816, who won the workd series of poker 2017, Scott Blumstein
1818, who wrote hit me baby one more time, Max Martin
1821, what's in a beam me up scotty, phencyclidine
1825, who played the middle sister on full house, Jodie Sweetin
1831, when does the new episodes of supernatural start, October 12  2017
1835, who was the first woman to win who wants to be a millionaire, Judith Cynthia Aline Keppel
1851, who sings that aint no way to go, Brooks & Dunn
1852, where did they get the tree for rockefeller center, State College  PA
1853, when does bill nye saves the world season 2 come out, December 29  2017
1854, when did the song holiday road come out, 1983
1858, fast & furious 8 release date in india, April 12  2017
1859, who wrote the song be thankful for what you got, William DeVaughn
1860, where did iowa state football coach come from, Massillon  Ohio
1863, what kind of food did the woolly mammoth eat, grass and sedges
1870, who played the first nfl thursday night football game, Denver Broncos
1871, what language is the olympic anthem sang in, Greek
1877, who is the original singer of you re going to love me, Jennifer Holliday
1886, who is the all time leading scorer in ncaa tournament history, Pete Maravich
1890, when is i can only imagine coming out, March 16  2018
1891, who is the robot in lost in space 2018, Brian Steele
1893, when does the new mlp movie come out, September 24  2017
1895, who has the most goals in soccer 2018, Ali Daei
1896, when does it's a wonderful life comes on, Christmas season
1900, what is the top speed of thrust ssc, 1 228 km/h
1902, when does scully come back in season 2, One Breath
1909, when is the season finale of designated survivor, May 16  2018
1911, who is the girl that died in eyes wide shut, Mandy
1913, who was the grandfather on the cosby show, Earle Hyman
1920, how long is a prime minister term in uk, At Her Majesty's pleasure
1923, who sang the theme song from russia with love, Matt Monro
1924, where does the song 10 green bottles come from, United Kingdom
1925, what kind of national legislature did the constitution created, bicameral Congress
1930, which is the only test playing nation that india has never beat in t20, Scotland
1932, who won season 2 of real chance of love, Jackie DaFonseca
1933, who does the voice of nelson on simpsons, Nancy Jean Cartwright
1936, who sang the song tell me something good, Rufus and Chaka Khan
1939, when does the next star trek episode come out, 2018
1943, when will the flash season 4 episode 17 come out, April 10  2018
1945, when does star wars battlefront 2 com out, November 17  2017
1949, how old was sasuke when his clan died, seven
1958, surface area in many kinds of organs is important because the amount of surface determines, effective gas exchange
1962, where did the book small steps take place, Austin  Texas
1966, who is the writer of a walk to remember, American writer Nicholas Sparks
1967, when did red dead redemption 1 come out, May 18  2010
1972, when does jim propose to pam on the office, In the Season 5 premiere
1973, who dies in akame ga kill night raid, Tatsumi
1975, when does dragon ball super episode 113 start, October 29  2017
1980, how many episodes is ash vs evil dead season 3, 10
1981, what is the song in red dead redemption, Far Away
1983, who is the ceo of what's up, Jan Koum
1991, who plays the walking boss in cool hand luke, Morgan Woodward
1992, who was the first lady nominated member of the rajya sabha, Mary Kom
1993, who has won the canada open women's doubles, Wakana Nagahara
1994, who played charles on when calls the heart, Steve Bacic
1995, how many wins does tiger woods have on the pga tour, 79
1996, who has the most subscribers in faze clan, FaZe Rug
1997, where was the movie a walk among the tombstones filmed, New York City
2001, who plays red on orange is new black, "Kate" Mulgrew
2004, wal-mart is a prime example of which type organization, multinational retail corporation
2014, who is the book of acts written to, Jewish audiences
2016, who does the voice of the gorilla in the movie sing, Taron Egerton
2017, when did billy don't be a hero come out, 1974
2019, when did the song push it come out, March 8  1987
2023, when does south by southwest start in austin texas, mid-March
2033, when did gimme gimme gimme start, 8 January 1999
2036, who plays frankie’s sister teddy on grace and frankie, Talia Shire
2039, who lives in the blue house in balamory, Edie McCredie
2040, when was the first season of when calls the heart, January 11  2014
2041, who played lead guitar on 25 or 6 to 4, Terry Kath
2043, when does zay come to girl meets world, May 13  2015
2048, what's the medal count for canada in the olympics, 501
2052, who plays steve's wife on my three sons, Beverly Garland
2060, who owns spirit of the suwannee music park, The Cornett family
2064, what is the population of the tri-cities washington, 283 846
2066, i like the way you move video cast, Big Boi
2068, when did season 4 of glee come out, September 13  2012
2069, who sings i want to dance with you, George Strait
2072, when does star trek discovery season 1 end, February 11  2018
2074, why did kevin can't wait wife leave the show, creative reasons
2075, how many students attend university of texas at austin, 51 331 (Fall 2016)
2076, who plays janie in the search for santa paws, G. Hannelius
2077, who were the first non native settlers in the us, European colonization
2079, who produced a change is gonna come, Hugo & Luigi
2080, who sang theme song for license to kill, Gladys Knight
2081, legends of tomorrow season 3 finale air date, April 9  2018
2085, who wrote i can feel at home in this world anymore, Macon Blair
2089, when is dancing on ice on the tv, 2019
2095, when do dwight and angela start dating again, In "A.A.R.M."
2096, where's the tv show the crossing filmed, British Columbia  Canada
2098, who sings the song i want to go outside in the rain, Milira
2100, when does the new season on the 100 come out, April 24  2018
2101, who plays the woodsman in over the garden wall, Christopher Lloyd
2102, what is the job of justice of the peace, dispense summary justice
2103, when did hollywood video go out of business, 2005.
2106, when did the ncaa tournament became more important than the nit, By the mid-1980s
2110, when does season 8 of vampire diaries come out, October 21  2016
2113, who negotiated an agreement with japan concerning the future of korea, the Korean Empire
2114, who does the voice of salem the cat, Nicholas "Nick" Bakay
2116, how many episodes are there in ordeal by innocence, three part
2117, what is the enrollment at university of miami, 16 801
2120, when did the tv show the waltons first air, September 1972
2128, what class of ship is the carnival glory, Conquest
2130, who sang the theme song to that 70s show, Big Star
2131, season 2 this is us number of episodes, 15
2133, who is the oldest wrestler that is still wrestling, Dory Funk Jr.
2135, what's the name of the last mission impossible movie, Mission: Impossible – Fallout
2137, who sang it going to take a miracle, The Royalettes
2138, winner of the women's royal rumble match, Asuka
2141, where was the last scene of the danish girl filmed, the Mount Mannen in Norway
2144, who sang the songs on walk the line, Reese Witherspoon
2147, actress who plays penelope garcia on criminal minds, Kirsten Simone Vangsness
2149, when did the soviet union start and end, in Eurasia
2151, who sings the theme song for the proud family, Destiny's Child
2152, who has the most votes for the all star game, fan voting
2153, when did john hart play the lone ranger, from 1952 until 1953
2155, who won big brother head of household canada, Kaela
2156, who sings the theme song for degrassi the next generation, Jakalope
2158, who played junior on in the heat of the night, Christian LeBlanc
2159, the tenure of the office of the lokayukt of up, eight years
2163, who does the voice of the elephant in sing, Tori Kelly
2165, who is the most followed user on instagram 2017, Instagram's own account
2170, what percentage of the earth's surface is water, 78%
2171, who killed missy in a bend in the road, Brian
2176, who sang never gonna let you go, Joe Pizzulo and Leeza Miller
2177, when will miraculous season 2 episode 11 be released, 30 March 2018
2182, who made the song we are the world, produced by Quincy Jones
2185, who is the actress who plays baker on blue bloods, Abigail Hawk
2186, who was the killer in the movie i know what you did last summer, Ben Willis
2188, who played the wicked witch in wicked on broadway, Rachel Kelly Tucker
2191, when did the second it movie come out, September 6  2019
2193, when did the anti smacking law come in nz, anti-smacking bill
2194, where was the first sonic drive in located, Woodward  Oklahoma
2195, what episode does caroline come into the originals, Brave New World
2196, who does the voice of amy on futurama, Lauren Tom
2197, who is the original singer of just when i needed you most, Randy VanWarmer
2199, where was a hologram for the king filmed, Morocco
2200, who was the guy who died in glee, Cory Allan Michael Monteith
2205, time of the state of the nation address, after 9pm ET
2207, when is season 4 of flash coming out, October 10  2017
2208, who plays christian in 50 shades of grey, James "Jamie" Dornan
2214, what was the name of the first continent, Pangaea
2216, who sang the song should have been a cowboy, Toby Keith
2223, how many wing stops are there in the united states, 1 000
2228, what is the latest version of chrome for linux, 67.0.3396
2231, how many nfl games were played in london, 21
2233, how many seasons of ray donovan has there been, 5
2243, number of employees in the department of health and human services, 79 540 (2015)
2245, who plays chris grandy in 13 going on 30, Jim Gaffigan
2246, who has hit a double century in the ranji trophy for jharkhand in 2016, Jaydev Shah
2247, where is the hero golf challenge being played, The Bahamas
2252, who sang the end of the world as we know it, R.E.M.
2257, who starred in the tv show even stevens, Nick Spano
2260, who sang the song one of these nights, American rock band Eagles
2266, when does the good doctor episode 8 air, November 20  2017
2268, what state does rick and morty take place in, Washington
2269, what is an open university grade 3 pass, 55–69%
2270, who dies in season 2 of the originals, Kol
2280, when was the peak to peak gondola built, in 2007 and 2008
2282, where did they film the royal tv series, City of Bradford
2288, when do new episodes of mindy project air, November 7  2017
2291, one piece episode 534 english dubbed release date, February 5  2012
2297, when did under the cork tree come out, May 3  2005
2301, panic at the disco la devotee video cast, Noah Schnapp
2302, who played the villain in tiger zinda hai, Sajjad Delafrooz
2305, who become ceo of wipro company in 2016, Abid Ali Neemuchwala
2306, who won the 2018 women's royal rumble match, Asuka
2307, what channel is big 10 network on fios, 585 (HD)
2309, when does the 2017 college football season end, December 9  2017
2312, who was the top scorer in 2014 world cup, James Rodríguez
2316, where does the movie mothers day take place, Atlanta
2317, when did the first immigrants come to hawaii, Around 1200
2319, when does monday night raw come on hulu, the following day
2323, who sings the song i feel it still, Portugal. The Man.
2335, who plays the little girl in jurassic park, Ariana Clarice Richards
2338, who plays spock in the new star trek movies, Zachary John Quinto
2340, who wins america's next top model cycle 20, Jourdan Miller
2341, when was the day that the pubs ran dry in the poem 9-3, 31 October 1972
2342, who wrote were going on a bear hunt, Michael Rosen
2343, when was son of a preacher man released, late 1968
2346, when does the eclipse end in the us, 2:44 p.m. EDT
2347, hart of dixie season 4 how many episodes, 10
2350, where will the first round of march madness be played, Wichita State University
2353, who sang the song if loving you is wrong i don't want to be right, The Emotions
2359, who was the actor who played grizzly adams, "Dan" Haggerty
2361, who is the owner of the crowne plaza, InterContinental Hotels Group
2362, what is the location at the end of minority report, an undisclosed location
2368, how many countries participated for the first time in the 2014 olympic winter games in sochi, Brazil
2371, when does the men's worlds curling start, March 31
2374, who sang the song how far is heaven, Los Lonely Boys
2376, when does sloan come into grey's anatomy, season two
2378, when does buffy tell her friends she was in heaven, Something to Sing About
2382, when did ford change the f150 body style, the 2009 model year
2383, who played scotty baldwins father on general hospital, Ross Elliott
2386, what type of snake is kaa in jungle book, Indian rock python
2387, when does ellen's new game show start, December 18  2017
2388, who was the original host of jokers wild, Jack Barry
2392, when does the implantation of the embryo occur, around 9 days after ovulation
2397, where is the snooker world open currently held, Hainan International Exhibition Center
2400, who plays jill bigelow in line of duty, Polly Walker
2403, who won the 10m air pistol gold medal at commonwealth shooting championship in brisbane australia, Shahzar Rizvi
2407, who sings stop listen what's that sound, Buffalo Springfield
2412, where was the first season of slasher filmed, Orangeville  Ontario  Canada
2414, who are you in assassin's creed 4, third-person perspective
2426, where does what in the sam hill come from, simple bowdlerization
2434, who become the ceo of it wipro company in 2016, Abid Ali Neemuchwala
2435, actress who plays brad pitts wife in war machine, Meg Tilly
2438, where was the movie i am number 4 filmed, the Pittsburgh metropolitan area
2440, when did brent barry won the dunk contest, 1996
2442, who sings in everybody dies in their nightmares, XXXTentacion
2444, where was the rise of the planet of the apes filmed, Oahu  Hawaii
2452, who is the actress that plays penny on the big bang theory, Kaley Christine Cuoco
2459, who plays stacey's mum in gavin and stacey, Melanie Walters
2460, who sings love me tender in princess diaries 2, Norah Jones
2462, who was the first to say i'm going to disney world, Jeana Yeager
2464, who was the girl that played cindy lou who, Taylor Michel Momsen
2465, who is the winner of bigg boss kannada season, Chandan Shetty
2471, who sang the theme song to step by step, Jesse Frederick James Conaway
2476, who plays carrie's boss on king of queens, Doug Pruzan
2479, when does agents of shield season five start, December 1  2017
2480, where does the thames river begin and end, Lighthouse Cove
2482, who was on the first season of dwts, Joey McIntyre
2483, who sings i feel love with the blue man group, Annette Strean
2485, who sings i just want to use your love tonight, English rock band the Outfield
2487, where are they playing the superbowl at this year, Minneapolis  Minnesota
2488, who starred in the movie summer of 42, Oliver Conant
2489, who plays the voice of johnny in sing, Taron Egerton
2490, who is the owner of phoenix mall in chennai, Sharyans Resources
2493, how many episodes are in season 7 of pretty little liars, 20
2495, how are leaders of the two parties in congress chosen, Senate Republican Conference
2499, who sang the song oh what a lonely boy, Andrew Gold
2505, who plays young voldemort in the half blood prince, Hero Beauregard Fiennes-Tiffin
2507, where does some like it hot take place, Chicago
2508, when did dragon ball z air in australia, Fall 1998
2510, how many episodes in my name is earl season 4, 27
2511, where did maria work in west side story, the dress shop
2515, who played mr. kincaid on the partridge family, David Joseph Madden
2517, who sings i wanna rock'n'roll all night, Kiss
2518, who scored fastest 10000 runs in test cricket, Alastair Cook
2520, cast of the have and have nots play, Tony Hightower as Frank
2522, what is the salary of us secretary of state, $205 700
2523, latest series of keeping up with the kardashians, 14
2526, when was to god be the glory written, around 1872
2534, who played bubba in the heat of the night, Carlos Alan Autry Jr.
2535, who played sarah hedley in when the boat comes in, Rosalind Bailey
2540, how many jimmy johns are there in the us, more than 2 500
2541, who played the music producer in pitch perfect 2, Keegan-Michael Key
2544, when will the flash season 4 episode 14 coming out, February 27  2018
2548, what was the original purpose of the kremlin, the tsar's Moscow residence
2549, what is the third season of total drama, World Tour
2553, ray charles hit the road jack album name, Ray Charles Greatest Hits
2558, where does the bob and tom show broadcast from, WFBQ in Indianapolis  Indiana
2560, who did the whistling in the muppet movie, Andrew Bird
2563, who wrote you must have been a beautiful baby, Johnny Mercer
2565, which player won the pga championship by the most shots, Rory McIlroy
2572, what is the transfer speed for sata 1, 1.5 Gbit/s
2584, where does the sun hit the us first, the summit of Cadillac Mountain
2589, who plays on the tv show the resident, Merrin Dungey
2590, when did are you smarter than a 5th grader first air, February 27  2007
2591, who played the detective in little boy blue, Stephen Graham
2593, when is star vs the forces of evil coming back 2018, March 3  2018
2594, who gets to race in the daytona clash, Daytona Pole Award winners
2596, when did they stop making the nissan xterra, 2015
2599, who sang theme song for dukes of hazard, Waylon Jennings
2601, when does the new season of are you the one come on, 2018
2609, who was the original host of what's my line, John Daly
2614, who did university of miami play last week, FIU
2617, how many episodes are there in modern family, 201
2623, who played young clark kent in 1978 superman, Jeff East
2625, who plays poppy in the beat goes on, Amanda Leighton
2631, who was the baby in ghost busters 2, Hank J. Deutschendorf II
2632, who sang from russia with love james bond, Matt Monro
2635, who sang for lee bowman in my dream is yours, Hal Derwin
2637, who played sandy's jock boyfriend in grease, John Travolta
2638, who plays the doc in back to the future, Christopher Allen Lloyd
2639, when did come fly with me come out, 25 December 2010
2645, who was hope brady's mother on days of our lives, Ciara Brady
2646, how much does a new gulfstream g650 cost, US$66.61 million
2649, where was the film coming home for christmas filmed, British Columbia
2650, who won the 7 man elimination chamber match, Roman Reigns
2651, who wins the final fight in real steel, Zeus
2655, how did leo dalton die in silent witness, in an explosion
2658, when does panic at the disco album come out, December 15  2017
2659, when does the flash season 4 episode 3 air, October 24  2017
2661, tad the lost explorer and the secret of king midas english cast, Ariel Winter as Sara Lavrof
2662, who is the actor that plays saul on grace and frankie, Sam Waterston
2664, who cooks for the president of the united states, Cristeta Comerford
2666, how many cracker barrels in the united states, 639
2668, who won the wwe championship elimination chamber 2018, Roman Reigns
2672, when does shadowhunters season 2 episode 17 come out, February 13  2017
2673, who played kelly taylor's mom on 90210, Ann Gillespie
2685, how many episodes in great british bake off 2017, 10
2688, when is the last time congress passed a complete budget, FY2010
2690, when is dragon ball super episode 131 releasing, TBA
2691, who sang i knew the bride when she used to rock and roll, Dave Edmunds
2692, where did the term liberal arts come from, the Roman Empire
2693, who wrote when a man loves a woman, Calvin Lewis and Andrew Wright
2696, tv show theme song would you like to swing on a star, Out of This World
2701, who invented the submarine during the civil war, Horace Lawson Hunley
2705, who is the cast of despicable me 3, Steve Carell
2708, who will get ticket to finale in rising star 2, Hemant Brijwasi
2712, who wrote the song always be humble and kind, Lori McKenna
2717, which episode does gideon die in criminal minds, "Nelson's Sparrow"
2727, which was the first village of karnataka which declared independence, Hyderabad
2729, who was last person to be executed in us, Ruben Cardenas Ramirez
2731, how many scholarships do division 2 football teams get, 36.0
2733, who sings in cry baby for johnny depp, James Intveld
2737, how many seasons of the smurfs are there, 9
2739, when did i'm like a bird come out, October 24  2000
2740, who sings god is great beer is good, Currington
2745, what kind of dog is charkie from curious george, black cocker spaniel
2754, when does the champions league round of 16 start, 13 February
2756, when did a wrinkle in time start filming, November 2  2016
2757, who played mr. willoughby in sense and sensibility, Matthew Gregory Wise
2759, when does nathan get in a car accident, The Show Must Go On
2761, who got the first arjun award in athletics, Gurbachan Singh Randhawa
2763, when does season 5 of ruby come out, October 14  2017
2765, nitty gritty dirt band fishin in the dark album, Hold On
2770, who had won the first grammy award for the best new artist, Chance the Rapper
2771, where did the christmas tree at rockefeller center come from, State College  PA
2772, when does the new season of lost in space come out, April 13  2018
2783, what does ss stand for on naval ships, Single-screw Steamship
2787, when did ga state get a football team, 2010
2793, how many points did lebron james scored in his career, 31 038
2795, cat in the hat knows a lot about space movie, Space is the Place
2797, where did the race in grease take place, Thunder Road
2798, what year did bennie and the jets come out, in 1973
2799, the witch and the hundred knight 2 us release, March 27  2018
2801, when was the last time the denver nuggets made the playoffs, 2012–13
2803, when will the next episode of my next guest needs no introduction, May 31  2018
2806, who has played in the most premier league derbies, Neville Southall
2809, what is an example of a government monopoly in the united states, West Virginia American Water
2811, who played ethel on the doris day show, Carol Worthington
2813, where did the peanut butter jelly time song come from, Buckwheat Boyz
2817, who introduced the first chrismas tree to the uk, Charlotte of Mecklenburg-Strelitz
2819, what is the inner core of the earth made from, some other elements
2820, how many episodes is season 4 of the flash, 23 episodes
2823, mount and blade with fire and sword time period, 1648-51
2824, nearest metro station to gandhi nagar in delhi, Shastri Park metro station
2827, why was the plague that struck athens so devastating, close quarters and poor hygiene
2829, who wrote ain't living long like this, Rodney Crowell
2832, when was the last god of war made, 2018
2833, what are the zords in the power rangers movie, animal-themed Ninja Zords
2835, where does the last name waller come from, Anglo-Saxon origin
2847, civil war what did the north fight for, maintaining the republic
2848, when does the next episode of rebels come out, February 19  2018
2849, who dies in transformers revenge of the fallen, Ravage and the Decepticon Rampage
2851, who gets the golden boot if its a tie, shared
2855, the boiling point of water is 100 degrees celsius express this in si units, 100 °C
2863, method used by a writer to develop a character, Anthropomorphism
2864, when did linkin park release one more light, May 19  2017
2869, how many games does a football team have to win to be bowl eligible, 5
2871, when was the first time lebron went to the finals, 2007
2875, when does the movie the star come out, November 17  2017
2877, first who wants to be a millionaire winner uk, Judith Cynthia Aline Keppel
2879, when does wentworth season 6 start in australia, 2019
2880, where is the north pole on the world map, latitude 90° North
2881, who played sam in clarissa explains it all, Sean O'Neal
2882, who did puss in boots grew up with, Humpty Dumpty
2888, where was the new pete's dragon filmed, New Zealand
2889, total goals scored by ronaldo in la liga, 309
2890, who's opening for foo fighters at fenway, N/A
2891, when did the eagles last play in a superbowl, 2017 season
2898, when did hyderabad became a part of india, 24 November 1949
2900, when does wonder woman come out on blue ray, September 19  2017
2903, when is winter big brother going to start, February 7  2018
2906, who played the face in the a team, Dirk Benedict
2909, who is the original singer of fool if you think it's over, Chris Rea
2913, who is eliminated in big boss kannada 5, Shruti
2917, what are some special products made in mississippi, farm-raised catfish
2922, how many episodes in season 3 of good witch, 10
2923, when was theme from a summer place released, 1960
2927, what is the population of keystone heights florida, 1 350
2930, who played emma in h2o just add water, Claire Rhiannon Holt
2934, when does i'm a celebrity get me out of here start in the uk, 2018
2935, who plays meredith quill in guardians of the galaxy 2, Laura Jane Haddock
2938, who wrote hallelujah i just love her so, Ray Charles
2943, where does sleeping freshmen never lie take place, J.P. Zenger High
2945, actor who plays dr avery on grey's anatomy, Jesse Wesley Williams
2946, when does season 13 of america's got talent premiere, May 29  2018
2956, who played morticia in the addams family tv show, Carolyn Sue Jones
2960, who sang i'm gonna run away from you, Tami Lynn
2963, criminal minds episode where jj becomes a profiler, season seven premiere
2970, who plays the prosecutor on law and order svu, Raúl Eduardo Esparza
2972, who plays the mom on the tv show mom, Allison Janney
2978, where was the original flight of the phoenix filmed, 20th Century-Fox Studios
2981, where is dancing on ice filmed this year, RAF Bovingdon
2983, who sang the theme song for laverne and shirley, Cyndi Grecco
2987, what nfl team is robert griffin the third playing for, currently a free agent
2994, who sings i'm going to soak up the sun, Kidz Bop Kids
2995, what does rt mean on a dodge car, Road/Track
2998, who plays the grandmother in game of thrones, Rigg
2999, what was the main characteristic of post-world war ii american society, strong economic growth
3002, who is playing halftime at the pro bowl, Jordan Fisher
3010, who came in last place on amazing race, Kevin & Jenn
3013, where was the world chess tournament 2017 held, Tbilisi  Georgia
3014, who was the dj on in living color, DJ Twist
3015, who made the first to record with the electric guitar, George Warren Barnes
3016, the grand tour season 2 episode 2 celebrity guests, Brian Wilson
3017, when does the new season of law and order svu come on, September 27  2017
3018, who sing say you won't let go, James Arthur
3020, where was the first high level language operating system created, at IBM
3022, what was the last episode of the flash, The Elongated Knight Rises
3025, what is the latest version of microsoft office 2010, 14.0.7182.5000
3031, where does the movie proof of life take place, The Republic of Tecala
3036, how many episodes are there in season six of nashville, 16
3045, how many players in football hall of fame, 318
3046, who gave the famous objective co relative theory, T.S. Eliot
3050, where was the film the remains of the day filmed, Powderham Castle
3051, who eliminated costa rica in world cup 2014, Netherlands
3055, who wrote shes always a woman to me, Billy Joel
3056, who won the first season of america's got talent, Bianca Ryan
3059, when is the last time the us lost the olympics, 2018 Pyeongchang
3061, who is singing in something just like this, Will Champion
3062, why dry ether is used in woods reaction, to form a higher alkane
3064, what was the population of the roman empire at its height, 50 to 90 million inhabitants
3065, where does the phrase train of thought come from, Thomas Hobbes in his Leviathan
3068, who were the first kings to issue coins bearing their names, the Indo-Greek kings
3069, who played michael jackson in jackson 5 movie, Alex Burrall
3070, who are the stars in dancing with the stars, Jennie Finch Daigle
3071, who hosted they think it's all over, Nick Hancock
3072, when did red bull come to the united states, 1997
3080, who has the most podium finishes in australia, Michael Schumacher
3082, who plays faith on when calls the heart, Andrea Brooks
3084, how many seasons of prison break are on netflix, five
3088, when does the second half of vikings season 5 air, 2018
3091, what is the strongest earthquake in the united states, 1964 Alaska earthquake and tsunami
3092, who wrote put your hand in the hand of the man who stilled the water, Gene MacLellan
3093, where is the white castle that harold and kumar go to, in Cherry Hill
3095, where is season 3 of the detour filmed, Alaska
3098, when do you get your dress blues in the army, during initial entry training
3099, who used to present i'm a celebrity now, Ant & Dec
3101, what is the longest panic at the disco song title, Bohemian Rhapsody
3102, who played mark on the show the rifleman, John Ernest Crawford
3103, where does the last name orozco originate from, Spanish/Basque origin
3104, when did marley die in a christmas carol, December 24  1836
3107, when did i ain't mad at cha come out, September 15  1996
3111, who wrote the song i hate you i love you, Garrett Nash
3112, who sings the theme tune to mum on bbc2, Lulu and the Lampshades
3117, who wrote if she knew what she wants, Jules Shear
3129, who wrote the theme song to law and order, Mike Post
3134, what is the salary of the ceo of microsoft, $84.3 million
3146, who carried the us flag in the 2014 olympics, Todd Lodwick
3147, when does the next apollo book come out, May 1  2018
3148, when was the last time lebron scored 50 points, March 5  2008
3149, who created the borders of africa's countries, European imperial powers
3151, who won best boy band i heart radio music awards, BTS
3164, when do luke and lorelai get back together, Say Goodbye to Daisy Miller
3166, who drives the number 95 car in nascar, Michael Christopher McDowell
3167, who sings the wire season 5 theme song, Steve Earle
3168, who plays dorian tyrell when he puts on the mask, Peter Greene
3169, who has won india's next super star, Natasha Bharadwaj
3173, who plays harry's mom in harry potter, Geraldine Margaret Agnew-Somerville
3176, who sings i'll sleep when i'm dead, Warren Zevon
3178, what episode does caroline get turned into a vampire, Brave New World
3179, who has won the cma entertainer of the year the most, Garth Brooks
3180, who won season 2 of great british baking show, Joanne Wheatley
3184, who played cory's older brother on boy meets world, Will Friedle
3190, where was one direction what makes you beautiful filmed, Malibu  California
3198, who played the princess in kingsman secret service, Hanna Alström
3200, who sang the theme song for the man with the golden gun, Lulu
3205, who said i will not go quietly into the night, Welsh poet Dylan Thomas
3207, the very last episode of that's so raven, Where There's Smoke
3209, how many stores does lowes have in canada, 62
3210, who does brant daugherty play in pretty little liars, Noel Kahn
3211, when did the new day win the tag team titles, 2016
3212, who is young george bailey in it's a wonderful life, Robert James Anderson
3214, when will the flash season 4 be released, October 10  2017
3215, new movie of ajay devgan and sonakshi sinha, Action Jackson
3219, who played mrs. trumbull on i love lucy, Mary Elizabeth Patterson
3223, who dies at the end of den of thieves, Merrimen
3225, the winner of the best actor award in the 64th national film festival 2017, Akshay Kumar
3226, how many times have real madrid won the european cup.in paris, twelve
3227, what is the limit of resolution of the human eye in micrometers, ~55-75 micrometers
3228, who laid the foundation of school of possibilism, Strabo
